订单号,运输状态
115808072,已签收
115690422,已签收
115506194,已签收
115503033,已签收
115988558,已签收
115914264,已签收
115907102,已签收
115875287,已签收
115824537,已签收
115591591,运输中
115582715,已签收
115549740,已签收
115301293,已签收
115152736,运输中
115035056,已签收
115622976,已签收
114508761,已签收
114788026,已签收
114925681,已签收
114906514,已签收
114826241,已签收
114918610,已签收
115005827,已签收
114928410,已签收
115030353,已签收
114966777,已签收
114871500,已签收
115207104,已签收
114519150,已签收
114779275,已签收
114799018,已签收
114971462,已签收
115027180,已签收
115337841,已签收
115036529,已签收
115080130,已签收
115003429,已签收
115031055,已签收
115511860,已签收
114961960,已签收
115340239,已签收
115290714,已签收
115331817,已签收
115012802,运输中
115357801,已签收
115331913,已签收
115337711,已签收
115359627,已签收
115370174,已签收
114891305,已签收
114923236,已签收
115149431,已签收
114490955,已签收
114571802,已签收
114595002,已签收
114490334,已签收
114488789,已签收
115152963,运输中
115139922,已签收
115141977,运输中
115147411,运输中
115146943,运输中
115152459,运输中
115144897,运输中
115143046,运输中
115144782,已签收
115144033,已签收
115148860,已签收
115146956,运输中
115139465,运输中
115150569,已签收
114771220,已签收
114493946,已签收
114614064,已签收
114660922,已签收
115195443,已签收
115214594,已签收
115196256,已签收
115195070,已签收
115196656,已签收
115262593,已签收
114892323,已签收
115109952,已签收
114973220,已签收
115060457,已签收
115118288,已签收
115025513,已签收
114679910,已签收
114628121,已签收
114590859,已签收
115123587,已签收
114954359,已签收
115167677,已签收
115036897,已签收
115110941,已签收
115157595,已签收
115102973,已签收
114875912,已签收
115161361,已签收
115149360,已签收
115112211,已签收
115131269,已签收
115117315,已签收
114892016,已签收
115215050,已签收
115160092,已签收
114898967,已签收
115040028,已签收
114878718,已签收
115207058,已签收
115192717,已签收
115004565,已签收
115188210,已签收
115211897,已签收
115200236,已签收
115195907,已签收
115198082,已签收
115212915,已签收
115200597,已签收
115194565,已签收
115202079,已签收
115257780,已签收
115193183,已签收
115204267,已签收
115212984,已签收
115209911,已签收
114892378,已签收
115177497,已签收
115186446,已签收
115197918,已签收
115195608,已签收
115187828,已签收
115191906,已签收
115192311,已签收
115189112,已签收
115190506,已签收
115193690,已签收
115187239,已签收
115190951,已签收
115213562,已签收
115202635,已签收
115085771,已签收
115081501,已签收
114925524,已签收
114963576,已签收
114941672,已签收
114902695,已签收
115075559,已签收
114954775,已签收
115040694,已签收
114960980,已签收
115070241,已签收
115127739,已签收
114957774,已签收
114959613,已签收
114944874,已签收
115085418,运输中
115085293,已签收
114960030,已签收
115086110,已签收
114910547,已签收
114958688,已签收
115207931,已签收
114899007,已签收
114891479,已签收
114913216,已签收
114906894,已签收
114885131,已签收
114884410,已签收
114896053,已签收
114909733,已签收
114881386,已签收
114905915,已签收
115067764,已签收
115220331,已签收
115151171,已签收
115146867,已签收
115142700,已签收
115158955,已签收
115162200,已签收
115136860,已签收
115113711,已签收
115175289,已签收
115197365,已签收
114943130,已签收
115219319,已签收
114939890,已签收
115057989,已签收
115043872,已签收
115178832,已签收
115063300,已签收
115057087,已签收
114757246,已签收
114890064,已签收
114882532,已签收
114888529,已签收
115040048,已签收
114960397,运输中
115034334,已签收
115035454,已签收
115038469,运输中
115042976,已签收
115034945,已签收
115151988,已签收
115156362,已签收
115157137,已签收
115155010,已签收
115254582,已签收
115071425,已签收
115067788,已签收
115075120,已签收
115075461,已签收
115066269,已签收
115075763,运输中
115070670,已签收
115065698,已签收
115067642,已签收
115041730,已签收
115043300,已签收
115056573,已签收
115036978,已签收
115031521,已签收
115105717,已签收
115150434,已签收
115125183,已签收
115120360,已签收
115107703,已签收
115108553,已签收
115048081,已签收
115057024,已签收
115118734,已签收
115039685,已签收
115259519,已签收
115147482,已签收
115126225,已签收
115256679,已签收
115036865,已签收
115033105,有异常
115032984,已签收
115033152,已签收
115030994,已签收
115284733,已签收
115029964,已签收
114959471,已签收
115162183,已签收
115068511,已签收
115035986,已签收
115038000,已签收
115040576,已签收
115042214,已签收
115077003,已签收
115074536,已签收
114898903,已签收
115068684,已签收
115077550,已签收
115070195,运输中
115076404,已签收
115077129,已签收
115077777,已签收
115076753,运输中
115073945,已签收
115041497,运输中
115039932,已签收
115077914,已签收
115078477,运输中
115078370,已签收
115080614,已签收
114964035,已签收
114944649,运输中
114950427,已签收
114961565,已签收
114946076,已签收
114946749,运输中
114943714,已签收
115131761,已签收
114947586,已签收
114943644,已签收
114943352,已签收
115082793,已签收
114964417,运输中
114936351,已签收
115083698,已签收
115083550,已签收
115083131,已签收
115081787,运输中
115132418,已签收
115133881,已签收
115128324,已签收
115138355,已签收
114964128,已签收
115124056,运输中
114954676,已签收
115126091,已签收
115066392,已签收
115125555,运输中
115125313,已签收
115126738,已签收
115122978,运输中
115123361,有异常
115133708,已签收
115125190,已签收
115127954,已签收
115124578,运输中
115016356,运输中
115099036,已签收
115129987,已签收
114940157,已签收
115083819,运输中
115091549,已签收
115075918,已签收
114944267,已签收
115099092,已签收
114963796,运输中
114956130,已签收
115084406,已签收
115093114,已签收
115076274,运输中
115085081,已签收
115089062,已签收
115127730,已签收
115092162,已签收
115090924,已签收
114952249,已签收
115091849,运输中
115084207,已签收
114910195,已签收
115091750,已签收
115093318,已签收
115099345,已签收
115093903,已签收
115130902,已签收
115094202,已签收
114955509,运输中
114962990,已签收
115130142,已签收
114962598,已签收
114945041,已签收
114953727,已签收
115131399,已签收
115084066,已签收
114951412,已签收
115094479,已签收
114942965,已签收
114948063,已签收
114937133,已签收
114952029,已签收
114938484,运输中
115123010,运输中
114956483,运输中
114961278,已签收
114918241,已签收
115089731,已签收
114963151,运输中
115086281,已签收
115093391,已签收
114948964,已签收
114943009,已签收
114902037,已签收
115089250,已签收
115087792,运输中
115081900,运输中
115088486,已签收
115089476,已签收
114958084,运输中
114921727,运输中
114958351,已签收
115017062,运输中
115015511,已签收
115088857,已签收
114909414,运输中
114957748,已签收
114945745,已签收
114925441,已签收
114961841,已签收
114962148,已签收
114950186,运输中
114959789,运输中
114941309,已签收
114944481,已签收
115091062,已签收
114948492,已签收
114958693,已签收
114956181,已签收
115016187,已签收
115017652,已签收
114940884,已签收
115147795,已签收
115146393,已签收
115063943,已签收
115115719,已签收
115038378,已签收
114976110,已签收
115078439,已签收
115069605,已签收
115078354,已签收
115110908,运输中
114961116,已签收
115068163,已签收
115059555,已签收
115069733,已签收
115128251,已签收
115152748,已签收
115135116,已签收
115146013,已签收
115150647,已签收
114947792,已签收
115150864,已签收
115121320,已签收
115074706,已签收
115075105,已签收
115013878,运输中
114945761,已签收
115034392,已签收
115032291,已签收
115032954,已签收
115117398,已签收
115035914,已签收
